item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,them,The boys near the fathers saw them . <eos>,The boys near the fathers saw them .
1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,them,The fathers near the boys saw them . <eos>,The fathers near the boys saw them .
1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,them,The girls near the mothers saw them . <eos>,The girls near the mothers saw them .
1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,them,The mothers near the girls saw them . <eos>,The mothers near the girls saw them .
1,simple,local,c-command,1,a,male,head,number,boy,fathers,saw,them,The boy near the fathers saw them . <eos>,The boy near the fathers saw them .
1,simple,local,c-command,1,b,male,head,number,father,boys,saw,them,The father near the boys saw them . <eos>,The father near the boys saw them .
1,simple,local,c-command,1,a,female,head,number,girl,mothers,saw,them,The girl near the mothers saw them . <eos>,The girl near the mothers saw them .
1,simple,local,c-command,1,b,female,head,number,mother,girls,saw,them,The mother near the girls saw them . <eos>,The mother near the girls saw them .
1,simple,local,no-c-command,0,a,male,distractor,number,boys,father,saw,them,The boys near the father saw them . <eos>,The boys near the father saw them .
1,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,saw,them,The fathers near the boy saw them . <eos>,The fathers near the boy saw them .
1,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,saw,them,The girls near the mother saw them . <eos>,The girls near the mother saw them .
1,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,saw,them,The mothers near the girl saw them . <eos>,The mothers near the girl saw them .
2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,them,The boys near the fathers established them . <eos>,The boys near the fathers established them .
2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,them,The fathers near the boys established them . <eos>,The fathers near the boys established them .
2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,them,The girls near the mothers established them . <eos>,The girls near the mothers established them .
2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,them,The mothers near the girls established them . <eos>,The mothers near the girls established them .
2,simple,local,c-command,1,a,male,head,number,boy,fathers,established,them,The boy near the fathers established them . <eos>,The boy near the fathers established them .
2,simple,local,c-command,1,b,male,head,number,father,boys,established,them,The father near the boys established them . <eos>,The father near the boys established them .
2,simple,local,c-command,1,a,female,head,number,girl,mothers,established,them,The girl near the mothers established them . <eos>,The girl near the mothers established them .
2,simple,local,c-command,1,b,female,head,number,mother,girls,established,them,The mother near the girls established them . <eos>,The mother near the girls established them .
2,simple,local,no-c-command,0,a,male,distractor,number,boys,father,established,them,The boys near the father established them . <eos>,The boys near the father established them .
2,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,established,them,The fathers near the boy established them . <eos>,The fathers near the boy established them .
2,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,established,them,The girls near the mother established them . <eos>,The girls near the mother established them .
2,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,established,them,The mothers near the girl established them . <eos>,The mothers near the girl established them .
3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,them,The boys near the fathers devoted them . <eos>,The boys near the fathers devoted them .
3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,them,The fathers near the boys devoted them . <eos>,The fathers near the boys devoted them .
3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,them,The girls near the mothers devoted them . <eos>,The girls near the mothers devoted them .
3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,them,The mothers near the girls devoted them . <eos>,The mothers near the girls devoted them .
3,simple,local,c-command,1,a,male,head,number,boy,fathers,devoted,them,The boy near the fathers devoted them . <eos>,The boy near the fathers devoted them .
3,simple,local,c-command,1,b,male,head,number,father,boys,devoted,them,The father near the boys devoted them . <eos>,The father near the boys devoted them .
3,simple,local,c-command,1,a,female,head,number,girl,mothers,devoted,them,The girl near the mothers devoted them . <eos>,The girl near the mothers devoted them .
3,simple,local,c-command,1,b,female,head,number,mother,girls,devoted,them,The mother near the girls devoted them . <eos>,The mother near the girls devoted them .
3,simple,local,no-c-command,0,a,male,distractor,number,boys,father,devoted,them,The boys near the father devoted them . <eos>,The boys near the father devoted them .
3,simple,local,no-c-command,0,b,male,distractor,number,fathers,boy,devoted,them,The fathers near the boy devoted them . <eos>,The fathers near the boy devoted them .
3,simple,local,no-c-command,0,a,female,distractor,number,girls,mother,devoted,them,The girls near the mother devoted them . <eos>,The girls near the mother devoted them .
3,simple,local,no-c-command,0,b,female,distractor,number,mothers,girl,devoted,them,The mothers near the girl devoted them . <eos>,The mothers near the girl devoted them .
4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,them,The boys near the fathers considered them . <eos>,The boys near the fathers considered them .
4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,them,The fathers near the boys considered them . <eos>,The fathers near the boys considered them .
4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,them,The girls near the mothers considered them . <eos>,The girls near the mothers considered them .
4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,them,The mothers near the girls considered them . <eos>,The mothers near the girls considered them .
4,simple,local,c-command,1,a,male,head,number,boy,fathers,considered,them,The boy near the fathers considered them . <eos>,The boy near the fathers considered them .
4,simple,local,c-command,1,b,male,head,number,father,boys,considered,them,The father near the boys considered them . <eos>,The father near the boys considered them .
