,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,boy,father,saw,himself,The boy said that the father saw himself . <eos>,The boy said that the father saw himself .,the boy said that the father saw ***mask*** .,9.79651263916353
1,1,embed,local,1,b,none,none,father,boy,saw,himself,The father said that the boy saw himself . <eos>,The father said that the boy saw himself .,the father said that the boy saw ***mask*** .,8.66342983487919
2,1,embed,local,1,a,nonlocal_subj,number,boys,father,saw,himself,The boys said that the father saw himself . <eos>,The boys said that the father saw himself .,the boys said that the father saw ***mask*** .,10.265223203138396
3,1,embed,local,1,b,nonlocal_subj,number,fathers,boy,saw,himself,The fathers said that the boy saw himself . <eos>,The fathers said that the boy saw himself .,the fathers said that the boy saw ***mask*** .,8.459500273595289
4,1,embed,nonlocal,0,a,local_subj,number,boy,fathers,saw,himself,The boy said that the fathers saw himself . <eos>,The boy said that the fathers saw himself .,the boy said that the fathers saw ***mask*** .,11.67273478000479
5,1,embed,nonlocal,0,b,local_subj,number,father,boys,saw,himself,The father said that the boys saw himself . <eos>,The father said that the boys saw himself .,the father said that the boys saw ***mask*** .,12.016662424884844
6,2,embed,local,1,a,none,none,boy,father,established,himself,The boy said that the father established himself . <eos>,The boy said that the father established himself .,the boy said that the father established ***mask*** .,1.1674256477546272
7,2,embed,local,1,b,none,none,father,boy,established,himself,The father said that the boy established himself . <eos>,The father said that the boy established himself .,the father said that the boy established ***mask*** .,0.2131416301324261
8,2,embed,local,1,a,nonlocal_subj,number,boys,father,established,himself,The boys said that the father established himself . <eos>,The boys said that the father established himself .,the boys said that the father established ***mask*** .,1.6800859200233833
9,2,embed,local,1,b,nonlocal_subj,number,fathers,boy,established,himself,The fathers said that the boy established himself . <eos>,The fathers said that the boy established himself .,the fathers said that the boy established ***mask*** .,0.27947756238340815
10,2,embed,nonlocal,0,a,local_subj,number,boy,fathers,established,himself,The boy said that the fathers established himself . <eos>,The boy said that the fathers established himself .,the boy said that the fathers established ***mask*** .,6.297473023503247
11,2,embed,nonlocal,0,b,local_subj,number,father,boys,established,himself,The father said that the boys established himself . <eos>,The father said that the boys established himself .,the father said that the boys established ***mask*** .,6.793379225143314
12,3,embed,local,1,a,none,none,boy,father,devoted,himself,The boy said that the father devoted himself . <eos>,The boy said that the father devoted himself .,the boy said that the father devoted ***mask*** .,0.679085169878876
13,3,embed,local,1,b,none,none,father,boy,devoted,himself,The father said that the boy devoted himself . <eos>,The father said that the boy devoted himself .,the father said that the boy devoted ***mask*** .,0.2044281793337912
14,3,embed,local,1,a,nonlocal_subj,number,boys,father,devoted,himself,The boys said that the father devoted himself . <eos>,The boys said that the father devoted himself .,the boys said that the father devoted ***mask*** .,0.16684111450799652
15,3,embed,local,1,b,nonlocal_subj,number,fathers,boy,devoted,himself,The fathers said that the boy devoted himself . <eos>,The fathers said that the boy devoted himself .,the fathers said that the boy devoted ***mask*** .,0.12363537809389248
16,3,embed,nonlocal,0,a,local_subj,number,boy,fathers,devoted,himself,The boy said that the fathers devoted himself . <eos>,The boy said that the fathers devoted himself .,the boy said that the fathers devoted ***mask*** .,8.455852813389686
17,3,embed,nonlocal,0,b,local_subj,number,father,boys,devoted,himself,The father said that the boys devoted himself . <eos>,The father said that the boys devoted himself .,the father said that the boys devoted ***mask*** .,10.435546943729555
