itme,clause_type,LocalityType,C-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,residual,sentence,sentence_no_eos
1,simple,local,c-command,1,none,none,none,none,father,man,was,smiling,The father near the man was smiling . <eos>,The father near the man was smiling .
1,simple,local,c-command,1,none,number,distractor,number,father,men,was,smiling,The father near the men was smiling . <eos>,The father near the men was smiling .
1,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,smiling,The father near the woman was smiling . <eos>,The father near the woman was smiling .
1,simple,local,c-command,1,none,both,distractor,both,father,women,was,smiling,The father near the women was smiling . <eos>,The father near the women was smiling .
1,simple,local,no-c-command,0,number,none,head,number,men,father,was,smiling,The men near the father was smiling . <eos>,The men near the father was smiling .
1,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,smiling,The woman near the father was smiling . <eos>,The woman near the father was smiling .
1,simple,local,no-c-command,0,both,none,head,both,women,father,was,smiling,The women near the father was smiling . <eos>,The women near the father was smiling .
2,simple,local,c-command,1,none,none,none,none,brother,man,was,waving,The brother near the man was waving . <eos>,The brother near the man was waving .
2,simple,local,c-command,1,none,number,distractor,number,brother,men,was,waving,The brother near the men was waving . <eos>,The brother near the men was waving .
2,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,waving,The brother near the woman was waving . <eos>,The brother near the woman was waving .
2,simple,local,c-command,1,none,both,distractor,both,brother,women,was,waving,The brother near the women was waving . <eos>,The brother near the women was waving .
2,simple,local,no-c-command,0,number,none,head,number,men,brother,was,waving,The men near the brother was waving . <eos>,The men near the brother was waving .
2,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,waving,The woman near the brother was waving . <eos>,The woman near the brother was waving .
2,simple,local,no-c-command,0,both,none,head,both,women,brother,was,waving,The women near the brother was waving . <eos>,The women near the brother was waving .
3,simple,local,c-command,1,none,none,none,none,brother,man,was,coughing,The brother near the man was coughing . <eos>,The brother near the man was coughing .
3,simple,local,c-command,1,none,number,distractor,number,brother,men,was,coughing,The brother near the men was coughing . <eos>,The brother near the men was coughing .
3,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,coughing,The brother near the woman was coughing . <eos>,The brother near the woman was coughing .
3,simple,local,c-command,1,none,both,distractor,both,brother,women,was,coughing,The brother near the women was coughing . <eos>,The brother near the women was coughing .
3,simple,local,no-c-command,0,number,none,head,number,men,brother,was,coughing,The men near the brother was coughing . <eos>,The men near the brother was coughing .
3,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,coughing,The woman near the brother was coughing . <eos>,The woman near the brother was coughing .
3,simple,local,no-c-command,0,both,none,head,both,women,brother,was,coughing,The women near the brother was coughing . <eos>,The women near the brother was coughing .
4,simple,local,c-command,1,none,none,none,none,king,man,was,walking,The king near the man was walking . <eos>,The king near the man was walking .
4,simple,local,c-command,1,none,number,distractor,number,king,men,was,walking,The king near the men was walking . <eos>,The king near the men was walking .
4,simple,local,c-command,1,none,gender,distractor,gender,king,woman,was,walking,The king near the woman was walking . <eos>,The king near the woman was walking .
4,simple,local,c-command,1,none,both,distractor,both,king,women,was,walking,The king near the women was walking . <eos>,The king near the women was walking .
4,simple,local,no-c-command,0,number,none,head,number,men,king,was,walking,The men near the king was walking . <eos>,The men near the king was walking .
4,simple,local,no-c-command,0,gender,none,head,gender,woman,king,was,walking,The woman near the king was walking . <eos>,The woman near the king was walking .
4,simple,local,no-c-command,0,both,none,head,both,women,king,was,walking,The women near the king was walking . <eos>,The women near the king was walking .
5,simple,local,c-command,1,none,none,none,none,actor,man,was,standing,The actor near the man was standing . <eos>,The actor near the man was standing .
5,simple,local,c-command,1,none,number,distractor,number,actor,men,was,standing,The actor near the men was standing . <eos>,The actor near the men was standing .
5,simple,local,c-command,1,none,gender,distractor,gender,actor,woman,was,standing,The actor near the woman was standing . <eos>,The actor near the woman was standing .
5,simple,local,c-command,1,none,both,distractor,both,actor,women,was,standing,The actor near the women was standing . <eos>,The actor near the women was standing .
5,simple,local,no-c-command,0,number,none,head,number,men,actor,was,standing,The men near the actor was standing . <eos>,The men near the actor was standing .
5,simple,local,no-c-command,0,gender,none,head,gender,woman,actor,was,standing,The woman near the actor was standing . <eos>,The woman near the actor was standing .
5,simple,local,no-c-command,0,both,none,head,both,women,actor,was,standing,The women near the actor was standing . <eos>,The women near the actor was standing .
6,simple,local,c-command,1,none,none,none,none,brother,man,was,leaving,The brother near the man was leaving . <eos>,The brother near the man was leaving .
6,simple,local,c-command,1,none,number,distractor,number,brother,men,was,leaving,The brother near the men was leaving . <eos>,The brother near the men was leaving .
6,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,leaving,The brother near the woman was leaving . <eos>,The brother near the woman was leaving .
6,simple,local,c-command,1,none,both,distractor,both,brother,women,was,leaving,The brother near the women was leaving . <eos>,The brother near the women was leaving .
6,simple,local,no-c-command,0,number,none,head,number,men,brother,was,leaving,The men near the brother was leaving . <eos>,The men near the brother was leaving .
6,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,was,leaving,The woman near the brother was leaving . <eos>,The woman near the brother was leaving .
6,simple,local,no-c-command,0,both,none,head,both,women,brother,was,leaving,The women near the brother was leaving . <eos>,The women near the brother was leaving .
7,simple,local,c-command,1,none,none,none,none,son,man,was,smiling,The son near the man was smiling . <eos>,The son near the man was smiling .
7,simple,local,c-command,1,none,number,distractor,number,son,men,was,smiling,The son near the men was smiling . <eos>,The son near the men was smiling .
7,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,smiling,The son near the woman was smiling . <eos>,The son near the woman was smiling .
7,simple,local,c-command,1,none,both,distractor,both,son,women,was,smiling,The son near the women was smiling . <eos>,The son near the women was smiling .
7,simple,local,no-c-command,0,number,none,head,number,men,son,was,smiling,The men near the son was smiling . <eos>,The men near the son was smiling .
7,simple,local,no-c-command,0,gender,none,head,gender,woman,son,was,smiling,The woman near the son was smiling . <eos>,The woman near the son was smiling .
7,simple,local,no-c-command,0,both,none,head,both,women,son,was,smiling,The women near the son was smiling . <eos>,The women near the son was smiling .
8,simple,local,c-command,1,none,none,none,none,father,man,was,waving,The father near the man was waving . <eos>,The father near the man was waving .
8,simple,local,c-command,1,none,number,distractor,number,father,men,was,waving,The father near the men was waving . <eos>,The father near the men was waving .
8,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,waving,The father near the woman was waving . <eos>,The father near the woman was waving .
8,simple,local,c-command,1,none,both,distractor,both,father,women,was,waving,The father near the women was waving . <eos>,The father near the women was waving .
8,simple,local,no-c-command,0,number,none,head,number,men,father,was,waving,The men near the father was waving . <eos>,The men near the father was waving .
8,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,waving,The woman near the father was waving . <eos>,The woman near the father was waving .
8,simple,local,no-c-command,0,both,none,head,both,women,father,was,waving,The women near the father was waving . <eos>,The women near the father was waving .
9,simple,local,c-command,1,none,none,none,none,son,man,was,coughing,The son near the man was coughing . <eos>,The son near the man was coughing .
9,simple,local,c-command,1,none,number,distractor,number,son,men,was,coughing,The son near the men was coughing . <eos>,The son near the men was coughing .
9,simple,local,c-command,1,none,gender,distractor,gender,son,woman,was,coughing,The son near the woman was coughing . <eos>,The son near the woman was coughing .
9,simple,local,c-command,1,none,both,distractor,both,son,women,was,coughing,The son near the women was coughing . <eos>,The son near the women was coughing .
9,simple,local,no-c-command,0,number,none,head,number,men,son,was,coughing,The men near the son was coughing . <eos>,The men near the son was coughing .
9,simple,local,no-c-command,0,gender,none,head,gender,woman,son,was,coughing,The woman near the son was coughing . <eos>,The woman near the son was coughing .
9,simple,local,no-c-command,0,both,none,head,both,women,son,was,coughing,The women near the son was coughing . <eos>,The women near the son was coughing .
10,simple,local,c-command,1,none,none,none,none,father,man,was,walking,The father near the man was walking . <eos>,The father near the man was walking .
10,simple,local,c-command,1,none,number,distractor,number,father,men,was,walking,The father near the men was walking . <eos>,The father near the men was walking .
10,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,walking,The father near the woman was walking . <eos>,The father near the woman was walking .
10,simple,local,c-command,1,none,both,distractor,both,father,women,was,walking,The father near the women was walking . <eos>,The father near the women was walking .
10,simple,local,no-c-command,0,number,none,head,number,men,father,was,walking,The men near the father was walking . <eos>,The men near the father was walking .
10,simple,local,no-c-command,0,gender,none,head,gender,woman,father,was,walking,The woman near the father was walking . <eos>,The woman near the father was walking .
